player_id,name,hometown,positions,year,height,weight,season_wins,season_losses,season_games,season_ppg,season_opp_ppg,season_total,season_opp_total,class,performances,height_inches,weight_lbs
-7113776294943997409,amir scarver,"douglasville, ga.",lb,2020,"6'0""",210 lbs,0,0,5,29.6,0,148.0,0,fr.,[],6.0,210.0
-7113776294943997409,amir scarver,"douglasville, ga.",lb,2023,"6'0""",210 lbs,0,0,9,26.11,0,235.0,0,r-fr.,[],6.0,210.0
-7113776294943997409,amir scarver,"douglasville, ga.",lb,2024,"6'0""",210 lbs,0,0,4,12.25,0,49.0,0,,[],6.0,210.0
3329988765664102337,isaiah williams,"jasper, ga.",te,2020,"6'3""",235 lbs,0,0,5,29.6,0,148.0,0,fr.,[],9.0,235.0
3329988765664102337,isaiah williams,"jasper, ga.",te,2024,"6'3""",235 lbs,0,0,4,12.25,0,49.0,0,,[],9.0,235.0
1778124072042308543,timothy sturdivant jr.,"powder springs, ga.",olb,2020,"6'2""",205 lbs,0,0,5,29.6,0,148.0,0,fr.,[],8.0,205.0
1778124072042308543,timothy sturdivant jr.,"powder springs, ga.",olb,2024,"6'2""",205 lbs,0,0,4,12.25,0,49.0,0,,[],8.0,205.0
-2284024998484265148,jamar rucks,"buford, ga.","dl,olb",2020,"6'3""",230 lbs,0,0,5,29.6,0,148.0,0,r-jr.,[],9.0,230.0
-2284024998484265148,jamar rucks,"buford, ga.","dl,olb",2023,"6'3""",230 lbs,0,0,9,26.11,0,235.0,0,r-so.,[],9.0,230.0
-2284024998484265148,jamar rucks,"buford, ga.","dl,olb",2024,"6'3""",230 lbs,0,0,4,12.25,0,49.0,0,,[],9.0,230.0
-3762626746665914175,donelius johnson,"patterson, ga.",lb,2020,"6'0""",220 lbs,0,0,5,29.6,0,148.0,0,fr.,[],6.0,220.0
-3762626746665914175,donelius johnson,"patterson, ga.",lb,2022,"6'0""",215 lbs,0,0,11,27.45,0,302.0,0,r-so.,[],6.0,215.0
-3762626746665914175,donelius johnson,"patterson, ga.",lb,2023,"6'0""",230 lbs,0,0,9,26.11,0,235.0,0,so.,[],6.0,230.0
-3762626746665914175,donelius johnson,"patterson, ga.",lb,2024,"6'0""",220 lbs,0,0,4,12.25,0,49.0,0,,[],6.0,220.0
-4582076453786192712,cj donaldson,"metter, ga.","dl,olb",2020,"6'3""",215 lbs,0,0,5,29.6,0,148.0,0,fr.,[],9.0,215.0
-4582076453786192712,cj donaldson,"metter, ga.","dl,olb",2023,"6'3""",230 lbs,0,0,9,26.11,0,235.0,0,r-fr.,[],9.0,230.0
-4582076453786192712,cj donaldson,"metter, ga.","dl,olb",2024,"6'3""",215 lbs,0,0,4,12.25,0,49.0,0,,[],9.0,215.0
-9056993321066929906,baron hopson,"leesburg, ga.",lb,2020,"6'1""",215 lbs,0,0,5,29.6,0,148.0,0,jr.,[],7.0,215.0
-9056993321066929906,baron hopson,"leesburg, ga.",lb,2023,"6'1""",215 lbs,0,0,9,26.11,0,235.0,0,r-jr.,[],7.0,215.0
-9056993321066929906,baron hopson,"leesburg, ga.",lb,2024,"6'1""",215 lbs,0,0,4,12.25,0,49.0,0,,[],7.0,215.0
-390049632775065536,tywon christopher,"thomasville, ga.",lb,2020,"6'0""",205 lbs,0,0,5,29.6,0,148.0,0,fr.,[],6.0,205.0
-390049632775065536,tywon christopher,"thomasville, ga.",lb,2024,"6'0""",205 lbs,0,0,4,12.25,0,49.0,0,,[],6.0,205.0
-1619678079645478253,tylon dunlap,"charlotte, n.c.",dl,2020,"6'1""",260 lbs,0,0,5,29.6,0,148.0,0,r-jr.,[],7.0,260.0
-1619678079645478253,tylon dunlap,"charlotte, n.c.",dl,2024,"6'1""",260 lbs,0,0,4,12.25,0,49.0,0,,[],7.0,260.0
-8663340069156558203,deldrick franklin,"atlanta, ga.",lb,2020,"6'0""",225 lbs,0,0,5,29.6,0,148.0,0,fr.,[],6.0,225.0
-8663340069156558203,deldrick franklin,"atlanta, ga.",lb,2023,"6'0""",225 lbs,0,0,9,26.11,0,235.0,0,r-fr.,[],6.0,225.0
-8663340069156558203,deldrick franklin,"atlanta, ga.",lb,2024,"6'0""",225 lbs,0,0,4,12.25,0,49.0,0,,[],6.0,225.0
1023254985136415801,juandarion silas,"athens, ga.","lb,olb",2020,"6'1""",215 lbs,0,0,5,29.6,0,148.0,0,fr.,[],7.0,215.0
1023254985136415801,juandarion silas,"athens, ga.","lb,olb",2022,"6'1""",200 lbs,0,0,11,27.45,0,302.0,0,r-so.,[],7.0,200.0
1023254985136415801,juandarion silas,"athens, ga.","lb,olb",2023,"6'1""",205 lbs,0,0,9,26.11,0,235.0,0,so.,[],7.0,205.0
1023254985136415801,juandarion silas,"athens, ga.","lb,olb",2024,"6'1""",215 lbs,0,0,4,12.25,0,49.0,0,,[],7.0,215.0
3251733590408546659,william johnson,"atlanta, ga.",ol,2020,"5'11""",265 lbs,0,0,5,29.6,0,148.0,0,r-so.,[],16.0,265.0
3251733590408546659,william johnson,"atlanta, ga.",ol,2023,"5'11""",260 lbs,0,0,9,26.11,0,235.0,0,so.,[],16.0,260.0
3251733590408546659,william johnson,"atlanta, ga.",ol,2024,"5'11""",265 lbs,0,0,4,12.25,0,49.0,0,,[],16.0,265.0
-2674832918775268384,jaxon colvin,"geraldine, ala.",dl,2020,"6'4""",250 lbs,0,0,5,29.6,0,148.0,0,fr.,[],10.0,250.0
-2674832918775268384,jaxon colvin,"geraldine, ala.",dl,2024,"6'4""",250 lbs,0,0,4,12.25,0,49.0,0,,[],10.0,250.0
-8467638703378661519,trey hargrove,"waycross, ga.",lb,2020,"5'11""",220 lbs,0,0,5,29.6,0,148.0,0,fr.,[],16.0,220.0
-8467638703378661519,trey hargrove,"waycross, ga.",lb,2023,"5'11""",210 lbs,0,0,9,26.11,0,235.0,0,r-fr.,[],16.0,210.0
-8467638703378661519,trey hargrove,"waycross, ga.",lb,2024,"5'11""",220 lbs,0,0,4,12.25,0,49.0,0,,[],16.0,220.0
-8301825772014788889,kalari gordon,"montgomery, ala.",ol,2020,"6'4""",340 lbs,0,0,5,29.6,0,148.0,0,fr.,[],10.0,340.0
-8301825772014788889,kalari gordon,"montgomery, ala.",ol,2024,"6'4""",340 lbs,0,0,4,12.25,0,49.0,0,,[],10.0,340.0
1888181098638006049,alto moore,"calhoun, ga.",olb,2020,"6'2""",245 lbs,0,0,5,29.6,0,148.0,0,fr.,[],8.0,245.0
1888181098638006049,alto moore,"calhoun, ga.",olb,2024,"6'2""",245 lbs,0,0,4,12.25,0,49.0,0,,[],8.0,245.0
-1449221422702602378,seaburn hines,"helena, ala.",ol,2020,"6'2""",305 lbs,0,0,5,29.6,0,148.0,0,jr.,[],8.0,305.0
-1449221422702602378,seaburn hines,"helena, ala.",ol,2022,"6'2""",305 lbs,0,0,11,27.45,0,302.0,0,r-jr.,[],8.0,305.0
-1449221422702602378,seaburn hines,"helena, ala.",ol,2023,"6'2""",305 lbs,0,0,9,26.11,0,235.0,0,so.,[],8.0,305.0
-1449221422702602378,seaburn hines,"helena, ala.",ol,2024,"6'2""",305 lbs,0,0,4,12.25,0,49.0,0,,[],8.0,305.0
-4473134068845321920,trey butts,"macon, ga.",ol,2020,"6'2""",295 lbs,0,0,5,29.6,0,148.0,0,fr.,[],8.0,295.0
-4473134068845321920,trey butts,"macon, ga.",ol,2022,"6'2""",260 lbs,0,0,11,27.45,0,302.0,0,r-so.,[],8.0,260.0
