name,season,is_home_game,opponent,prev_game_weather,prev_game_temperature,prev_game_wind,prev_game_duration,prev_game_kickoff_time,prev_game_attendance,prev_game_total_points_scored,prev_game_average_points_scored,prev_game_total_first_downs,prev_game_passing_first_downs,prev_qb_passing_completions,prev_qb_passing_attempts,prev_qb_passing_interceptions,prev_qb_passing_avg_per_attempt,prev_qb_passing_avg_per_completion,prev_qb_passing_touchdowns,prev_total_offense_yards,prev_total_offense_plays,prev_game_receiving_yards,prev_game_receptions,prev_game_touchdowns,prev_game_longest_reception,prev_first_downs
"Ficklin,  Kevin",2019,False,Alabama State,Partly Cloudy,93,E at 4,2:43,5:00 pm,15887,124,41.33,14,7,14,29,2,5.4,11.2,1,202,54,0,0,0,0,0
"Ficklin,  Kevin",2019,True,Monmouth,Clear,60,Light,3:16,2:05 PM,4464,262,37.43,18,3,3,16,1,7.2,38.3,1,407,61,0,0,0,0,0
"Ficklin,  Kevin",2019,True,North Alabama,Windy & Overcast,71 deg,,2:48,3:05,4546,109,36.33,26,0,0,4,0,0.0,0.0,0,490,67,0,0,0,0,0
"Ficklin,  Kevin",2019,False,Presbyterian,"rainy, wet",53,n8,2:47,2:30 pm,1635,190,38,13,2,6,13,1,4.8,10.3,1,219,51,0,0,0,0,0
"Ficklin,  Kevin",2019,False,Hampton,cloudy,40s,much,2:43,1 pm,3612,84,42,11,4,12,27,3,2.4,5.4,1,126,52,0,0,0,0,0
"Ficklin,  Kevin",2019,True,Point University,Partly cloudy,Mid 80s,Calm,2:49,6:05 PM,6621,164,54.67,24,5,6,7,0,22.7,26.5,3,592,62,0,0,0,0,0
"Ficklin,  Kevin",2019,True,Gardner-Webb,Periods of Rain,62,S at 6,3:00,2:05 pm,4383,208,34.67,17,2,3,6,0,4.7,9.3,0,350,59,0,0,0,0,0
"Ficklin,  Kevin",2019,False,Wofford,cloudy,60,SSE at 3,2:45,4:04 pm,1992,96,24,12,8,11,20,0,8.6,15.5,1,282,56,0,0,0,0,0
"Ficklin,  Kevin",2019,False,Campbell,Sunny,51,W 1mph,3:10,1:05 PM,5039,117,39,24,12,15,33,2,7.1,15.5,1,386,71,0,0,0,0,0
"Ficklin,  Kevin",2019,True,Charleston Southern,Partly Cloudy,74,vrbl @ 6,3:17,3:05 pm,8258,206,25.75,17,4,5,10,0,10.6,21.2,0,448,61,0,0,0,0,0
"Ficklin,  Kevin",2019,False,Weber State,Mostly cloudy,34,SSE 9mph,2:50,1:00 pm,5422,20,20,13,11,20,32,1,7.6,12.2,1,287,52,0,0,0,0,0
"Ficklin,  Kevin",2019,True,Reinhardt,"Partly Cloudy, Muggy",89,None,2:41,6:05 pm,7414,66,33,9,2,3,6,1,10.0,20.0,0,264,38,0,0,0,0,0
"Foster,  Isaac",2019,False,Alabama State,Partly Cloudy,93,E at 4,2:43,5:00 pm,15887,124,41.33,14,7,14,29,2,5.4,11.2,1,202,54,0,0,0,0,0
"Foster,  Isaac",2019,False,Presbyterian,"rainy, wet",53,n8,2:47,2:30 pm,1635,190,38,13,2,6,13,1,4.8,10.3,1,219,51,0,0,0,0,0
"Foster,  Isaac",2019,True,Point University,Partly cloudy,Mid 80s,Calm,2:49,6:05 PM,6621,164,54.67,24,5,6,7,0,22.7,26.5,3,592,62,0,0,0,0,0
"Foster,  Isaac",2019,True,Charleston Southern,Partly Cloudy,74,vrbl @ 6,3:17,3:05 pm,8258,206,25.75,17,4,5,10,0,10.6,21.2,0,448,61,0,0,0,0,0
"Foster,  Isaac",2019,True,Reinhardt,"Partly Cloudy, Muggy",89,None,2:41,6:05 pm,7414,66,33,9,2,3,6,1,10.0,20.0,0,264,38,0,0,0,0,0
"Foster,  Isaac",2019,False,KENTST,Partly cloudy,69,NW 8,3:20,12:05 PM,18679,23,23,16,8,17,23,0,8.3,11.3,1,337,59,0,0,0,0,0
"Foster,  Isaac",2019,False,Missouri State,Mostly Cloudy,81,S 15,3:07,2:05 pm,11421,35,35,23,13,28,46,0,6.3,10.4,2,385,81,0,0,0,0,0
"Glover,  Kyle",2019,False,Alabama State,Partly Cloudy,93,E at 4,2:43,5:00 pm,15887,124,41.33,14,7,14,29,2,5.4,11.2,1,202,54,0,0,0,0,0
"Glover,  Kyle",2019,True,Monmouth,Clear,60,Light,3:16,2:05 PM,4464,262,37.43,18,3,3,16,1,7.2,38.3,1,407,61,0,0,0,0,0
"Glover,  Kyle",2019,True,North Alabama,Windy & Overcast,71 deg,,2:48,3:05,4546,109,36.33,26,0,0,4,0,0.0,0.0,0,490,67,0,0,0,0,0
"Glover,  Kyle",2019,False,Presbyterian,"rainy, wet",53,n8,2:47,2:30 pm,1635,190,38,13,2,6,13,1,4.8,10.3,1,219,51,0,0,0,0,0
"Glover,  Kyle",2019,False,Hampton,cloudy,40s,much,2:43,1 pm,3612,84,42,11,4,12,27,3,2.4,5.4,1,126,52,0,0,0,0,0
"Glover,  Kyle",2019,True,Point University,Partly cloudy,Mid 80s,Calm,2:49,6:05 PM,6621,164,54.67,24,5,6,7,0,22.7,26.5,3,592,62,0,0,0,0,0
"Glover,  Kyle",2019,True,Gardner-Webb,Periods of Rain,62,S at 6,3:00,2:05 pm,4383,208,34.67,17,2,3,6,0,4.7,9.3,0,350,59,0,0,0,0,0
"Glover,  Kyle",2019,False,Wofford,cloudy,60,SSE at 3,2:45,4:04 pm,1992,96,24,12,8,11,20,0,8.6,15.5,1,282,56,0,0,0,0,0
"Glover,  Kyle",2019,False,Campbell,Sunny,51,W 1mph,3:10,1:05 PM,5039,117,39,24,12,15,33,2,7.1,15.5,1,386,71,0,0,0,0,0
"Glover,  Kyle",2019,False,Weber State,Mostly cloudy,34,SSE 9mph,2:50,1:00 pm,5422,20,20,13,11,20,32,1,7.6,12.2,1,287,52,0,0,0,0,0
"Glover,  Kyle",2019,True,Reinhardt,"Partly Cloudy, Muggy",89,None,2:41,6:05 pm,7414,66,33,9,2,3,6,1,10.0,20.0,0,264,38,0,0,0,0,0
"Glover,  Kyle",2019,False,KENTST,Partly cloudy,69,NW 8,3:20,12:05 PM,18679,23,23,16,8,17,23,0,8.3,11.3,1,337,59,0,0,0,0,0
"Glover,  Kyle",2019,False,Missouri State,Mostly Cloudy,81,S 15,3:07,2:05 pm,11421,35,35,23,13,28,46,0,6.3,10.4,2,385,81,0,0,0,0,0
"Grier,  Antavius",2019,False,Alabama State,Partly Cloudy,93,E at 4,2:43,5:00 pm,15887,124,41.33,14,7,14,29,2,5.4,11.2,1,202,54,0,0,0,0,0
"Grier,  Antavius",2019,True,Monmouth,Clear,60,Light,3:16,2:05 PM,4464,262,37.43,18,3,3,16,1,7.2,38.3,1,407,61,0,0,0,0,0
"Grier,  Antavius",2019,False,Presbyterian,"rainy, wet",53,n8,2:47,2:30 pm,1635,190,38,13,2,6,13,1,4.8,10.3,1,219,51,0,0,0,0,0
"Grier,  Antavius",2019,False,Hampton,cloudy,40s,much,2:43,1 pm,3612,84,42,11,4,12,27,3,2.4,5.4,1,126,52,0,0,0,0,0
"Grier,  Antavius",2019,True,Point University,Partly cloudy,Mid 80s,Calm,2:49,6:05 PM,6621,164,54.67,24,5,6,7,0,22.7,26.5,3,592,62,0,0,0,0,0
"Grier,  Antavius",2019,True,Gardner-Webb,Periods of Rain,62,S at 6,3:00,2:05 pm,4383,208,34.67,17,2,3,6,0,4.7,9.3,0,350,59,0,0,0,0,0
"Grier,  Antavius",2019,False,Wofford,cloudy,60,SSE at 3,2:45,4:04 pm,1992,96,24,12,8,11,20,0,8.6,15.5,1,282,56,0,0,0,0,0
"Grier,  Antavius",2019,False,Campbell,Sunny,51,W 1mph,3:10,1:05 PM,5039,117,39,24,12,15,33,2,7.1,15.5,1,386,71,0,0,0,0,0
"Grier,  Antavius",2019,True,Charleston Southern,Partly Cloudy,74,vrbl @ 6,3:17,3:05 pm,8258,206,25.75,17,4,5,10,0,10.6,21.2,0,448,61,0,0,0,0,0
"Grier,  Antavius",2019,False,KENTST,Partly cloudy,69,NW 8,3:20,12:05 PM,18679,23,23,16,8,17,23,0,8.3,11.3,1,337,59,0,0,0,0,0
"Hancock,  Kj",2019,True,Point University,Partly cloudy,Mid 80s,Calm,2:49,6:05 PM,6621,164,54.67,24,5,6,7,0,22.7,26.5,3,592,62,0,0,0,0,0
"Hancock,  Kj",2019,True,Charleston Southern,Partly Cloudy,74,vrbl @ 6,3:17,3:05 pm,8258,206,25.75,17,4,5,10,0,10.6,21.2,0,448,61,0,0,0,0,0
"Hancock,  Kj",2019,False,Weber State,Mostly cloudy,34,SSE 9mph,2:50,1:00 pm,5422,20,20,13,11,20,32,1,7.6,12.2,1,287,52,0,0,0,0,0
"Hancock,  Kj",2019,False,KENTST,Partly cloudy,69,NW 8,3:20,12:05 PM,18679,23,23,16,8,17,23,0,8.3,11.3,1,337,59,0,0,0,0,0
"Jackson,  Jalen",2019,False,Presbyterian,"rainy, wet",53,n8,2:47,2:30 pm,1635,190,38,13,2,6,13,1,4.8,10.3,1,219,51,0,0,0,0,0
"Jackson,  Jalen",2019,True,Gardner-Webb,Periods of Rain,62,S at 6,3:00,2:05 pm,4383,208,34.67,17,2,3,6,0,4.7,9.3,0,350,59,0,0,0,0,0
"Jackson,  Jalen",2019,True,Charleston Southern,Partly Cloudy,74,vrbl @ 6,3:17,3:05 pm,8258,206,25.75,17,4,5,10,0,10.6,21.2,0,448,61,0,0,0,0,0
"Marshall,  Chavis",2019,True,Gardner-Webb,Periods of Rain,62,S at 6,3:00,2:05 pm,4383,208,34.67,17,2,3,6,0,4.7,9.3,0,350,59,0,0,0,0,0
"O'neal,  Caleb",2019,True,Monmouth,Clear,60,Light,3:16,2:05 PM,4464,262,37.43,18,3,3,16,1,7.2,38.3,1,407,61,0,0,0,0,0
"O'neal,  Caleb",2019,False,Hampton,cloudy,40s,much,2:43,1 pm,3612,84,42,11,4,12,27,3,2.4,5.4,1,126,52,0,0,0,0,0
"O'neal,  Caleb",2019,True,Gardner-Webb,Periods of Rain,62,S at 6,3:00,2:05 pm,4383,208,34.67,17,2,3,6,0,4.7,9.3,0,350,59,0,0,0,0,0
"O'neal,  Caleb",2019,False,Wofford,cloudy,60,SSE at 3,2:45,4:04 pm,1992,96,24,12,8,11,20,0,8.6,15.5,1,282,56,0,0,0,0,0
"O'neal,  Caleb",2019,False,KENTST,Partly cloudy,69,NW 8,3:20,12:05 PM,18679,23,23,16,8,17,23,0,8.3,11.3,1,337,59,0,0,0,0,0
"O'neal,  Caleb",2019,False,Missouri State,Mostly Cloudy,81,S 15,3:07,2:05 pm,11421,35,35,23,13,28,46,0,6.3,10.4,2,385,81,0,0,0,0,0
"Pontrelli,  Ryan",2019,True,Point University,Partly cloudy,Mid 80s,Calm,2:49,6:05 PM,6621,164,54.67,24,5,6,7,0,22.7,26.5,3,592,62,0,0,0,0,0
"Pontrelli,  Ryan",2019,True,Reinhardt,"Partly Cloudy, Muggy",89,None,2:41,6:05 pm,7414,66,33,9,2,3,6,1,10.0,20.0,0,264,38,0,0,0,0,0
"Pontrelli,  Ryan",2019,False,Missouri State,Mostly Cloudy,81,S 15,3:07,2:05 pm,11421,35,35,23,13,28,46,0,6.3,10.4,2,385,81,0,0,0,0,0
"Rechsteiner,  Bronson",2019,True,Monmouth,Clear,60,Light,3:16,2:05 PM,4464,262,37.43,18,3,3,16,1,7.2,38.3,1,407,61,0,0,0,0,0
"Rechsteiner,  Bronson",2019,True,North Alabama,Windy & Overcast,71 deg,,2:48,3:05,4546,109,36.33,26,0,0,4,0,0.0,0.0,0,490,67,0,0,0,0,0
"Rechsteiner,  Bronson",2019,False,Hampton,cloudy,40s,much,2:43,1 pm,3612,84,42,11,4,12,27,3,2.4,5.4,1,126,52,0,0,0,0,0
"Rechsteiner,  Bronson",2019,True,Point University,Partly cloudy,Mid 80s,Calm,2:49,6:05 PM,6621,164,54.67,24,5,6,7,0,22.7,26.5,3,592,62,0,0,0,0,0
"Rechsteiner,  Bronson",2019,True,Gardner-Webb,Periods of Rain,62,S at 6,3:00,2:05 pm,4383,208,34.67,17,2,3,6,0,4.7,9.3,0,350,59,0,0,0,0,0
"Rechsteiner,  Bronson",2019,False,Wofford,cloudy,60,SSE at 3,2:45,4:04 pm,1992,96,24,12,8,11,20,0,8.6,15.5,1,282,56,0,0,0,0,0
"Rechsteiner,  Bronson",2019,False,Campbell,Sunny,51,W 1mph,3:10,1:05 PM,5039,117,39,24,12,15,33,2,7.1,15.5,1,386,71,0,0,0,0,0
"Rechsteiner,  Bronson",2019,True,Charleston Southern,Partly Cloudy,74,vrbl @ 6,3:17,3:05 pm,8258,206,25.75,17,4,5,10,0,10.6,21.2,0,448,61,0,0,0,0,0
"Rechsteiner,  Bronson",2019,True,Reinhardt,"Partly Cloudy, Muggy",89,None,2:41,6:05 pm,7414,66,33,9,2,3,6,1,10.0,20.0,0,264,38,0,0,0,0,0
"Rechsteiner,  Bronson",2019,False,Missouri State,Mostly Cloudy,81,S 15,3:07,2:05 pm,11421,35,35,23,13,28,46,0,6.3,10.4,2,385,81,0,0,0,0,0
"Reed,  Tj",2019,False,Alabama State,Partly Cloudy,93,E at 4,2:43,5:00 pm,15887,124,41.33,14,7,14,29,2,5.4,11.2,1,202,54,0,0,0,0,0
"Reed,  Tj",2019,True,Monmouth,Clear,60,Light,3:16,2:05 PM,4464,262,37.43,18,3,3,16,1,7.2,38.3,1,407,61,0,0,0,0,0
"Reed,  Tj",2019,True,North Alabama,Windy & Overcast,71 deg,,2:48,3:05,4546,109,36.33,26,0,0,4,0,0.0,0.0,0,490,67,0,0,0,0,0
"Reed,  Tj",2019,False,Presbyterian,"rainy, wet",53,n8,2:47,2:30 pm,1635,190,38,13,2,6,13,1,4.8,10.3,1,219,51,0,0,0,0,0
"Reed,  Tj",2019,False,Hampton,cloudy,40s,much,2:43,1 pm,3612,84,42,11,4,12,27,3,2.4,5.4,1,126,52,0,0,0,0,0
"Reed,  Tj",2019,True,Point University,Partly cloudy,Mid 80s,Calm,2:49,6:05 PM,6621,164,54.67,24,5,6,7,0,22.7,26.5,3,592,62,0,0,0,0,0
"Reed,  Tj",2019,True,Gardner-Webb,Periods of Rain,62,S at 6,3:00,2:05 pm,4383,208,34.67,17,2,3,6,0,4.7,9.3,0,350,59,0,0,0,0,0
"Reed,  Tj",2019,True,Charleston Southern,Partly Cloudy,74,vrbl @ 6,3:17,3:05 pm,8258,206,25.75,17,4,5,10,0,10.6,21.2,0,448,61,0,0,0,0,0
"Reed,  Tj",2019,False,Weber State,Mostly cloudy,34,SSE 9mph,2:50,1:00 pm,5422,20,20,13,11,20,32,1,7.6,12.2,1,287,52,0,0,0,0,0
"Reed,  Tj",2019,True,Reinhardt,"Partly Cloudy, Muggy",89,None,2:41,6:05 pm,7414,66,33,9,2,3,6,1,10.0,20.0,0,264,38,0,0,0,0,0
"Reed,  Tj",2019,False,KENTST,Partly cloudy,69,NW 8,3:20,12:05 PM,18679,23,23,16,8,17,23,0,8.3,11.3,1,337,59,0,0,0,0,0
"Reed,  Tj",2019,False,Missouri State,Mostly Cloudy,81,S 15,3:07,2:05 pm,11421,35,35,23,13,28,46,0,6.3,10.4,2,385,81,0,0,0,0,0
"Terry,  Shaquil",2019,False,Alabama State,Partly Cloudy,93,E at 4,2:43,5:00 pm,15887,124,41.33,14,7,14,29,2,5.4,11.2,1,202,54,0,0,0,0,0
"Terry,  Shaquil",2019,True,Monmouth,Clear,60,Light,3:16,2:05 PM,4464,262,37.43,18,3,3,16,1,7.2,38.3,1,407,61,0,0,0,0,0
"Terry,  Shaquil",2019,True,North Alabama,Windy & Overcast,71 deg,,2:48,3:05,4546,109,36.33,26,0,0,4,0,0.0,0.0,0,490,67,0,0,0,0,0
"Terry,  Shaquil",2019,False,Presbyterian,"rainy, wet",53,n8,2:47,2:30 pm,1635,190,38,13,2,6,13,1,4.8,10.3,1,219,51,0,0,0,0,0
"Terry,  Shaquil",2019,False,Hampton,cloudy,40s,much,2:43,1 pm,3612,84,42,11,4,12,27,3,2.4,5.4,1,126,52,0,0,0,0,0
"Terry,  Shaquil",2019,True,Point University,Partly cloudy,Mid 80s,Calm,2:49,6:05 PM,6621,164,54.67,24,5,6,7,0,22.7,26.5,3,592,62,0,0,0,0,0
"Terry,  Shaquil",2019,True,Gardner-Webb,Periods of Rain,62,S at 6,3:00,2:05 pm,4383,208,34.67,17,2,3,6,0,4.7,9.3,0,350,59,0,0,0,0,0
"Terry,  Shaquil",2019,False,Wofford,cloudy,60,SSE at 3,2:45,4:04 pm,1992,96,24,12,8,11,20,0,8.6,15.5,1,282,56,0,0,0,0,0
"Terry,  Shaquil",2019,False,Campbell,Sunny,51,W 1mph,3:10,1:05 PM,5039,117,39,24,12,15,33,2,7.1,15.5,1,386,71,0,0,0,0,0
"Terry,  Shaquil",2019,True,Charleston Southern,Partly Cloudy,74,vrbl @ 6,3:17,3:05 pm,8258,206,25.75,17,4,5,10,0,10.6,21.2,0,448,61,0,0,0,0,0
"Terry,  Shaquil",2019,False,Weber State,Mostly cloudy,34,SSE 9mph,2:50,1:00 pm,5422,20,20,13,11,20,32,1,7.6,12.2,1,287,52,0,0,0,0,0
"Terry,  Shaquil",2019,True,Reinhardt,"Partly Cloudy, Muggy",89,None,2:41,6:05 pm,7414,66,33,9,2,3,6,1,10.0,20.0,0,264,38,0,0,0,0,0
"Terry,  Shaquil",2019,False,KENTST,Partly cloudy,69,NW 8,3:20,12:05 PM,18679,23,23,16,8,17,23,0,8.3,11.3,1,337,59,0,0,0,0,0
"Terry,  Shaquil",2019,False,Missouri State,Mostly Cloudy,81,S 15,3:07,2:05 pm,11421,35,35,23,13,28,46,0,6.3,10.4,2,385,81,0,0,0,0,0
