prev_solo_tackles,prev_assisted_tackles,prev_total_tackles,prev_tackles_for_loss_yards,prev_sacks_yards,prev_interceptions,prev_pass_deflections,prev_forced_fumbles,prev_fumble_recoveries,prev_blocked_kicks,total_tackles,season
13.0,8.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,25,2019
20.0,5.0,25.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,44,2021
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2019
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2021
15.0,9.0,24.0,11.0,0.0,4.0,7.0,0.0,1.0,0.0,42,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022
8.0,1.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,12,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2022
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,2019
21.0,4.0,25.0,6.0,0.0,3.0,7.0,0.0,1.0,0.0,33,2021
19.0,14.0,33.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,60,2022
9.0,2.0,11.0,12.0,9.0,0.0,0.0,1.0,1.0,0.0,24,2019
10.0,4.0,14.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,19,2019
7.0,12.0,19.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,23,2021
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2021
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2019
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2021
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2021
6.0,6.0,12.0,23.0,11.0,0.0,1.0,0.0,0.0,0.0,29,2022
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2019
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2021
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2022
3.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2019
