name,season,major,height,weight,hometown,position,games_played,games_started,solo_tackles,assisted_tackles,total_tackles,tackles_for_loss_yards,sacks_yards,interceptions,pass_deflections,forced_fumbles,fumble_recoveries,blocked_kicks,tackles_for_loss,sacks,prev_games_played,prev_games_started,prev_solo_tackles,prev_assisted_tackles,prev_total_tackles,prev_tackles_for_loss,prev_tackles_for_loss_yards,prev_sacks,prev_sacks_yards,prev_interceptions,prev_pass_deflections,prev_forced_fumbles,prev_fumble_recoveries,prev_blocked_kicks
"glover, kyle",2019,,71,204,"eastman, ga.",rb,14,3,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"glover, kyle",2021,,71,215,"eastman, ga.",rb,13,12,0,2,2,0.0,0.0,0,0,0,0,0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"grier, antavius",2019,,69,158,"jackson, ga.",rb,10,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"haigler, will",2021,,73,210,"tallahassee, fla.",wr,13,9,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"hancock, kj",2019,,73,210,"suwanee, ga.",wr,14,3,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"hand, dylan",2022,,72,195,"dacula, ga.",db,9,1,4,2,6,0.0,0.0,1,1,0,0,0,0.0,0.0,10.0,0.0,4.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
"harris, ryan",2022,,70,170,"irmo, s.c.",db,3,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,13.0,1.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"henderson, sean",2019,,73,181,"norcross, ga.",k,14,6,26,17,43,2.0,0.0,0,0,1,0,0,2.0,0.0,4.0,0.0,1.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"henderson, troy",2019,,71,223,"cleveland, ohio",lb,14,0,26,17,43,2.0,0.0,0,0,1,0,0,2.0,0.0,3.0,0.0,1.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"jackson, adrian",2019,,74,221,"hoschton, ga.",te,16,7,0,0,0,0.0,0.0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"jackson, jalen",2019,,74,197,"powder springs, ga.",wr,14,0,0,0,0,0.0,0.0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"jenkins, montrel",2022,,72,215,"acworth, ga.",lb,11,0,18,18,36,7.0,2.0,0,0,1,0,0,2.5,1.0,8.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"jenkins, william",2021,,72,200,"decatur, ga.",lb,3,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"jenkins, william",2022,,72,215,"decatur, ga.",lb,11,2,12,10,22,3.0,0.0,0,0,0,0,0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"jones, tanner",2019,,70,174,"kennesaw, ga.",wr,12,0,4,0,4,0.0,0.0,0,0,0,0,1,0.0,0.0,11.0,0.0,8.0,2.0,10.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"katina, zion",2019,,74,282,"franklin, tenn.",ol,13,9,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"katina, zion",2021,,74,285,"franklin, tenn.",ol,10,10,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"katina, zion",2022,,74,285,"franklin, tenn.",ol,9,8,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,10.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"kirby, elijah",2022,,73,210,"sandy springs, ga.",db,7,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,8.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"larry, le'vonte",2019,,69,181,"jesup, ga.",db,14,10,28,21,49,4.0,3.0,1,7,1,0,0,1.0,0.5,13.0,11.0,34.0,9.0,43.0,4.5,15.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
"ledet, marquis",2022,,72,205,"marietta, ga.",rb,8,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"loden, cade",2021,,72,175,"st. mary's, ga.",db,11,0,3,1,4,0.0,0.0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"loden, cade",2022,,72,180,"st. mary's, ga.",wr,10,0,1,1,2,0.0,0.0,0,0,0,0,0,0.0,0.0,11.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"loden, cole",2019,,71,176,"st. mary's, ga.",db,14,3,20,5,25,3.0,0.0,1,1,0,0,0,1.0,0.0,13.0,2.0,13.0,8.0,21.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
"loden, cole",2021,,71,185,"st. mary's, ga.",db,13,9,28,16,44,0.0,0.0,1,5,0,0,0,0.0,0.0,14.0,3.0,20.0,5.0,25.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
"marshall, chavis",2021,,75,190,"sylvester, ga.",wr,12,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"marshall, chavis",2022,,75,195,"sylvester, ga.",wr,11,10,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"mason, cincere",2019,,72,212,"atlanta, ga.",db,14,13,27,15,42,3.0,0.0,1,4,1,1,0,2.5,0.0,12.0,10.0,15.0,9.0,24.0,2.5,11.0,0.0,0.0,4.0,7.0,0.0,1.0,0.0
"mccracken, zane",2022,,74,200,"calhoun, ga.",ls,11,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"mills, courtney",2019,,73,240,"powder springs, ga.",lb,12,0,5,7,12,8.0,8.0,0,0,0,0,0,2.0,1.0,7.0,0.0,8.0,1.0,9.0,1.5,4.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
"montgomery, markeith",2019,,69,172,"flintstone, ga.",db,12,3,21,4,25,6.0,0.0,3,7,0,1,0,1.5,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
