name,season,major,height,weight,hometown,position,games_played,games_started,solo_tackles,assisted_tackles,total_tackles,tackles_for_loss_yards,sacks_yards,interceptions,pass_deflections,forced_fumbles,fumble_recoveries,blocked_kicks,tackles_for_loss,sacks,prev_games_played,prev_games_started,prev_solo_tackles,prev_assisted_tackles,prev_total_tackles,prev_tackles_for_loss,prev_tackles_for_loss_yards,prev_sacks,prev_sacks_yards,prev_interceptions,prev_pass_deflections,prev_forced_fumbles,prev_fumble_recoveries,prev_blocked_kicks
"flood, deontae",2018,,73,247,"atlanta, ga.",dl,2,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"foster, isaac",2018,,70,165,"summerville, ga.",rb,13,0,3,2,5,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"foster, isaac",2019,,70,165,"summerville, ga.",rb,8,7,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,13.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"foster, isaac",2021,,70,170,"summerville, ga.",rb,3,3,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"foster, isaac",2022,,70,175,"summerville, ga.",rb,11,9,1,1,2,0.0,0.0,0,0,0,0,0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"foster, isaac",2023,business management,70,175,"summerville, ga.",wr,8,7,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,11.0,9.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"frank, matt",2017,,75,300,"fairburn, ga.",ol,12,12,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"franklin, deldrick",2023,sport management,72,225,"atlanta, ga.",lb,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"franklin, deldrick",2024,sport management,72,225,"atlanta, ga.",lb,4,0,0,2,2,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"gamble, chance",2021,,74,165,"fitzgerald, ga.",db,5,0,6,1,7,8.0,0.0,1,3,1,0,0,1.0,0.0,,,,,,,,,,,,,,
"gamble, chance",2022,,74,170,"fitzgerald, ga.",db,10,10,36,13,49,2.0,0.0,3,5,0,2,0,1.0,0.0,5.0,0.0,6.0,1.0,7.0,1.0,8.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0
"genovese, jordan",2017,,77,190,"alpharetta, ga.",,14,0,1,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"glover, kyle",2017,,71,209,"eastman, ga.",lb,10,0,2,0,2,0.0,0.0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,,,,
"glover, kyle",2018,,71,204,"eastman, ga.",rb,12,1,0,1,1,0.0,0.0,0,0,0,0,0,0.0,0.0,10.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
