name,season,major,height,weight,hometown,position,games_played,games_started,passing_yards,pass_completions,pass_attempts,interceptions_thrown,passing_touchdowns,longest_completion,pass_completion_percentage,average_yards_per_pass,average_passing_yards_per_game,rushing_attempts,rushing_yards,rushing_touchdowns,longest_rush,average_yards_per_rush,average_rushing_yards_per_game,prev_games_played,prev_games_started,prev_passing_yards,prev_pass_completions,prev_pass_attempts,prev_interceptions_thrown,prev_passing_touchdowns,prev_longest_completion,prev_pass_completion_percentage,prev_average_yards_per_pass,prev_average_passing_yards_per_game,prev_rushing_attempts,prev_rushing_yards,prev_rushing_touchdowns,prev_longest_rush,prev_average_yards_per_rush,prev_average_rushing_yards_per_game,total_touchdowns,prev_total_touchdowns
"rechsteiner, bronson",2019,,72,230,"acworth, ga.",rb,14.0,11.0,60.0,1.0,1.0,0.0,1.0,60.0,1.0,60.0,4.3,112.0,909.0,7.0,85.0,8.1,64.9,,,,,,,,,,,,,,,,,,8.0,
"reed, tj",2019,,69,173,"daphne, ala.",rb,14.0,2.0,,,,,,,,,,39.0,346.0,0.0,26.0,8.9,24.7,,,,,,,,,,,,,,,,,,,
"scotland, zaire",2021,,73,220,"seneca, s.c.",rb,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"scott, dj",2023,sport management,73,200,"oviedo, fla.",rb,1.0,0.0,,,,,,,,,,9.0,53.0,1.0,11.0,5.9,53.0,,,,,,,,,,,,,,,,,,,
"scott, dj",2024,sport management,73,195,"oviedo, fla.",rb,4.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,9.0,53.0,1.0,11.0,5.9,53.0,,
"simmons, brandon",2019,,72,229,"pleasant grove, ala.",rb,5.0,0.0,,,,,,,,,,24.0,146.0,0.0,33.0,6.1,29.2,,,,,,,,,,,,,,,,,,,
"sledge, gene",2022,,74,235,"huntsville, ala.",rb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"smith, irving",2021,,68,200,"dallas, ga.",rb,9.0,4.0,,,,,,,,,,9.0,58.0,0.0,40.0,6.4,6.4,,,,,,,,,,,,,,,,,,,
"smith, quandarius",2021,,71,205,"gainesville, fla.",rb,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"terry, shaquil",2019,,69,172,"bessemer, ala.",rb,14.0,14.0,,,,,,,,,,51.0,383.0,4.0,44.0,7.5,27.4,,,,,,,,,,,,,,,,,,,
"wallace, tykeem",2021,,69,170,"thomasville, ga.",rb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"wallace, tykeem",2022,,69,160,"thomasville, ga.",rb,10.0,0.0,,,,,,,,,,6.0,31.0,0.0,17.0,5.2,3.1,,,,,,,,,,,,,,,,,,,
