Name,Position,Major,Height,Weight,Year,Hometown,Season,Rush Attempts,Rush Yards,Rush Touchdowns,Rush Longest,Rush Rush attempt yards pct,Rush Yards per game avg,Receiving Recep,Receiving Yards,Receiving Touchdowns,Receiving Longest,Receiving Per game,Receiving Yards comp pct,Receiving Yards game pct,Defense Solo,Defense Assist,Defense Total,Defense Tfl yards,Defense Sacks yards,Defense Interceptions,Defense Pass defl,Defense Forced fumble,Defense Fumb rec,Defense Blocked,Games Played,Games Started,Year_Scraped,Height_inches
Jayden Barron,DL,,"6'2""",285,Jr.,"Thomaston, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,74
Kerick Reese,DL,,"6'2""",220,So.,"Stockbridge, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,39.0,8.0,3.5,0.0,0.0,1.0,0.0,0.0,11.0,7.0,2021,74
Dominique Marshall,WR,,"6'1""",190,Fr.,"Valdosta, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021,73
Joel Parker,DL,,"6'0""",250,Jr.,"Birmingham, Ala.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,12.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,8.0,7.0,2021,72
Travis  Bell,DL,,"6'1""",280,Sr.,"Montgomery, Ala.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,9.0,25.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,2021,73
Joshua Huiet,P,,"6'2""",190,Fr.,"Johns Creek, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2021,74
Carter Pinholster,WR,,"6'1""",190,So.,"Fort Payne, Ala.",2021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,1.0,48.0,0.1,48.0,4.8,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2021,73
Adam Watkins,DL,,"6'0""",285,Fr.,"Dacula, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2021,72
Michael Hines,DT,,"6'2""",280,Fr.,"Hueytown, Ala.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2021,74
Carson Koporc,TE,,"6'3""",240,So.,"Roswell, Ga.",2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021,75
Sharmari Reed,DB,,"6'0""",205,Jr.,"Fayetteville, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,72
Iaan Cousin,RB,,"6'0""",160,Jr.,"Carrollton, Ga.",2022,8.0,12.0,0.0,20.0,1.5,2.4,11.0,146.0,0.0,28.0,2.2,13.3,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2022,72
Jonathan Murphy,QB,,"6'0""",190,Sr.,"Los Angeles, Calif.",2022,107.0,386.0,9.0,57.0,3.6,64.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,2022,72
Oscar Gonzalez,WR,,"6'4""",230,Sr.,"Dalton, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,3.0,48.0,0.0,37.0,0.3,16.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2022,76
Je'Cory  Burks,DB,,"6'0""",195,Sr.,"Perry, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,13.0,36.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,11.0,10.0,2022,72
Nykeem Farrow,RB,,"5'9""",170,Jr.,"Cochran, Ga.",2022,7.0,22.0,0.0,8.0,3.1,4.4,2.0,72.0,0.0,72.0,0.4,36.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2022,69
Preston Daniels,RB,,"5'11""",255,Jr.,"Sandersville, Ga.",2022,84.0,423.0,4.0,46.0,5.0,47.0,1.0,19.0,1.0,19.0,0.1,19.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,2022,71
Xavier Shepherd,QB,,"6'0""",205,Jr.,"Nashville, Tenn.",2022,205.0,589.0,11.0,41.0,2.9,65.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,2022,72
Davis Bryson,QB,,"5'9""",175,Fr.,"Woodbridge, Va.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2022,69
DeAngelo Hardy,QB,,"5'10""",185,Jr.,"Chattanooga, Tenn.",2022,11.0,26.0,0.0,6.0,2.4,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2022,70
Gene Sledge,RB,,"6'2""",235,So.,"Huntsville, Ala.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,74
Ryan Harris,DB,,"5'10""",170,Jr.,"Irmo, S.C.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2022,70
Jayven Williams,DB,,"6'2""",170,Fr.,"Mobile, Ala.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2022,74
Nick Sawyer,QB,,"5'11""",160,Fr.,"Harvest, Ala.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,71
Jalen Barnum,LB,,"6'1""",195,Jr.,"Jesup, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,25.0,48.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,11.0,9.0,2022,73
Chavis Marshall,WR,,"6'3""",195,Jr.,"Sylvester, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,11.0,179.0,0.0,38.0,1.0,16.3,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,2022,75
Braden Bohannon,QB,,"6'1""",180,Fr.,"Woodstock, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,73
Isaac Foster,RB,,"5'10""",175,Gr.,"Summerville, Ga.",2022,72.0,420.0,4.0,43.0,5.8,38.2,27.0,314.0,2.0,40.0,2.5,11.6,28.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,2022,70
Kemari McGowan,RB,,"5'10""",160,Jr.,"Murfreesboro, Tenn.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,70
Gabriel Benyard,RB,,"5'10""",175,So.,"Ocilla, Ga.",2022,30.0,202.0,0.0,28.0,6.7,22.4,13.0,234.0,2.0,37.0,1.4,18.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,2022,70
Tykeem Wallace,RB,,"5'9""",160,So.,"Thomasville, Ga.",2022,6.0,31.0,0.0,17.0,5.2,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2022,69
Deontre Morris,DB,,"5'11""",185,So.,"Atlanta, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,18.0,50.0,0.0,0.0,5.0,11.0,1.0,1.0,0.0,10.0,9.0,2022,71
Cade Loden,WR,,"6'0""",180,Jr.,"St. Mary's, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2022,72
Markeith  Montgomery,DB,,"5'10""",185,Sr.,"Flintstone, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,23.0,60.0,6.0,0.0,5.0,12.0,2.0,0.0,0.0,11.0,10.0,2022,70
Elijah Kirby,DB,,"6'1""",210,Jr.,"Sandy Springs, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2022,73
Qua Ashley,RB,,"5'10""",185,Fr.,"Dublin, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2022,70
Chance Gamble,DB,,"6'2""",170,So.,"Fitzgerald, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,13.0,49.0,1.0,0.0,3.0,5.0,0.0,2.0,0.0,10.0,10.0,2022,74
Marquis Ledet,RB,,"6'0""",205,Jr.,"Marietta, Ga.",2022,7.0,15.0,0.0,4.0,2.1,1.9,1.0,5.0,0.0,5.0,0.1,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,2022,72
Joe Williams,DB,,"6'0""",170,Fr.,"Thomasville, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2022,72
Milon Jones,DB,,"5'11""",175,Fr.,"Marietta, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,2022,71
Sulaiman Bah,DB,,"6'1""",190,So.,"Lilburn, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2022,73
Myles Beris,DB,,"5'9""",170,So.,"Douglasville, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2022,69
Dylan Hand,DB,,"6'0""",195,So.,"Dacula, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,2022,72
Yesiah Clemons,RB,,"5'10""",200,Jr.,"Griffin, Ga.",2022,26.0,148.0,0.0,36.0,5.7,13.5,1.0,53.0,1.0,53.0,0.1,53.0,4.8,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,2022,70
Michael Benefield,RB,,"5'7""",190,So.,"Atlanta, Ga.",2022,18.0,111.0,0.0,19.0,6.2,11.1,2.0,32.0,0.0,20.0,0.2,16.0,3.2,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,2022,67
Remington Adams,RB,,"5'6""",165,Fr.,"Kennesaw, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,66
William Jenkins,LB,,"6'0""",215,Jr.,"Decatur, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,2022,72
Garland Benyard,LB,,"6'1""",200,So.,"Ocilla, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,21.0,50.0,7.0,3.5,1.0,3.0,0.0,2.0,0.0,11.0,10.0,2022,73
Danarius Johnson,LB,,"5'11""",195,Fr.,"Patterson, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,71
Nehemiah McCoy,LB,,"5'10""",200,Fr.,"Ocilla, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2022,70
Montrel Jenkins,LB,,"6'0""",215,So.,"Acworth, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,36.0,2.5,1.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,2022,72
Jerrod Woods,LB,,"6'1""",210,So.,"Leesburg, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,16.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2022,73
Eli Leiataua,RB,,"5'11""",215,Fr.,"Hinesville, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2022,71
Rob Brown,RB,,"6'0""",205,Fr.,"Trion, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2022,72
Damarion Davis,LB,,"6'0""",185,Fr.,"Lithonia, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2022,72
Mike Mincey,LB,,"6'1""",230,So.,"Waycross, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,16.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2022,73
Terrell Paxton,OL,,"6'0""",310,Sr.,"Stone Mountain, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,2022,72
Jordan Lay,RB,,"5'11""",205,Jr.,"Hartwell, Ga.",2022,51.0,141.0,0.0,11.0,2.8,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2022,71
Jordan Love,OL,,"6'2""",275,So.,"Rockledge, Fla.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,2022,74
Antonio Ward,LB,,"6'0""",210,Jr.,"Snellville, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,2022,72
Donelius Johnson,LB,,"6'0""",215,Fr.,"Patterson, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2022,72
Alexander Diggs,RB,,"5'9""",190,Fr.,"Snellville, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2022,69
Juandarion Silas,LB,,"6'1""",200,Fr.,"Athens, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,27.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,5.0,2022,73
Tyler Scott,DL,,"6'1""",310,Jr.,"Jackson, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2022,73
Demetric Barnes,DL,,"6'4""",235,Jr.,"Stone Mountain, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,2022,76
Charlie Cooper,P,,"5'11""",185,Fr.,"Tucker, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2022,71
Cameron Donald,DL,,"6'1""",250,Jr.,"Pelzer, S.C.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,73
Darron Willis,OL,,"6'2""",255,Jr.,"Alpharetta, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2022,74
Jahon Myers,DL,,"6'3""",255,Jr.,"Luella, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16.0,29.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,11.0,10.0,2022,75
Seth Adams,OL,,"6'3""",250,So.,"Dawsonville, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2022,75
Tristan Love,OL,,"6'2""",300,Sr.,"Rockledge, Fla.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2022,74
Seaburn Hines,OL,,"6'2""",305,So.,"Helena, Ala.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,2022,74
Matt Olson,OL,,"6'3""",285,Gr.,"Cumming, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2022,75
Zion Katina,OL,,"6'2""",285,Sr.,"Franklin, Tenn.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,2022,74
Trenton Jackson,OL,,"6'0""",290,Jr.,"Hattiesburg, Miss.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,2022,72
James Dawson,OL,,"6'1""",295,Jr.,"Opelika, Ala.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,2022,73
Braden Whittenburg,LS,,"6'1""",195,So.,"Folkston, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,73
Trey Butts,OL,,"6'2""",260,Fr.,"Macon, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,74
Matthew Gilliam,OL,,"6'2""",250,So.,"Fayetteville, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,74
Jacob Strom,OL,,"6'3""",280,Fr.,"Hazlehurst, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2022,75
Nate Wright,OL,,"6'3""",255,Fr.,"Gardendale, Ala.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2022,75
Hall O'Neal,OL,,"6'2""",255,Jr.,"Atlanta, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2022,74
Desmond Scott,DL,,"6'0""",285,Gr.,"Pinson, Ala.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,16.0,2.5,1.5,0.0,1.0,1.0,0.0,0.0,8.0,5.0,2022,72
Coy Pendergrass,OL,,"6'3""",275,Fr.,"Lafayette, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2022,75
Conor Cummins,K,,"6'1""",175,So.,"Marietta, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2022,73
Brian Habeck,OL,,"6'3""",235,Fr.,"Jefferson, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,75
Connor Finer,TE,,"6'2""",215,So.,"New Port Richey, Fla.",2022,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,0.0,29.0,0.1,29.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2022,74
Mike Fangman,OL,,"6'1""",270,So.,"Naples, Fla.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,73
Zane McCracken,LS,,"6'2""",200,Jr.,"Calhoun, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2022,74
Clayton Nelson,WR,,"6'0""",190,Sr.,"Buford, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2022,72
Blake Bohannon,WR,,"6'1""",200,So.,"Woodstock, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,12.0,213.0,1.0,61.0,1.1,17.8,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,2022,73
Ronnie Thomas,LS,,"5'10""",180,Fr.,"Warner Robbins, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2022,70
Dylan Hannon,DL,,"6'2""",290,Fr.,"Alpharetta, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,74
Rowan Darnell,WR,,"6'4""",210,Fr.,"Johns Creek, Ga.",2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2022,76
